Global_active_power,Global_reactive_power,Voltage,Global_intensity,day,month,year,hour,minute,Total Reading
0.452,0.294,247.03,2.2,29,12,2009,3,10,2.0
0.318,0.068,244.04,1.4,29,6,2010,19,58,2.0
0.272,0.0,242.66,1.2,19,12,2008,1,32,0.0
0.276,0.252,241.49,1.4,27,8,2007,1,55,1.0
1.83,0.08,238.82,7.6,4,11,2008,8,15,19.0
0.234,0.122,237.89,1.0,8,2,2008,9,58,0.0
0.608,0.0,247.95,2.4,1,11,2010,17,27,1.0
1.992,0.058,238.33,8.8,12,4,2008,20,59,0.0
1.354,0.204,237.79,5.6,7,7,2008,10,8,18.0
0.116,0.0,237.59,0.6,5,5,2007,6,22,0.0
1.47,0.088,243.44,6.0,2,4,2010,0,1,19.0
2.032,0.084,243.55,8.4,31,12,2009,11,14,19.0
1.884,0.086,240.02,7.8,2,8,2007,8,56,18.0
0.232,0.048,245.42,1.0,21,11,2010,2,47,0.0
1.564,0.198,238.75,6.6,10,11,2009,18,52,19.0
0.254,0.0,242.17,1.0,30,12,2009,2,12,1.0
3.64,0.296,235.38,15.4,19,6,2009,8,21,56.0
0.348,0.114,242.03,1.4,27,4,2008,6,33,1.0
1.298,0.0,238.9,5.4,4,11,2008,10,29,19.0
0.308,0.086,239.97,1.4,9,8,2010,0,26,0.0
0.21,0.0,234.92,0.8,27,2,2008,19,38,0.0
3.278,0.212,239.97,13.6,15,9,2009,20,41,20.0
0.3,0.086,245.5,1.2,17,12,2007,5,8,2.0
0.472,0.0,242.31,2.0,24,12,2007,23,42,0.0
0.288,0.05,243.38,1.4,15,3,2007,1,44,0.0
0.574,0.224,244.25,2.6,30,1,2008,4,29,2.0
2.608,0.158,243.91,11.0,27,12,2009,8,43,19.0
0.284,0.208,235.4,1.4,25,4,2007,13,42,0.0
0.326,0.234,239.36,1.6,8,11,2010,19,22,1.0
0.508,0.22,236.53,2.2,1,1,2007,19,52,1.0
0.546,0.214,243.46,2.4,29,6,2009,4,4,1.0
2.762,0.092,237.58,11.6,27,10,2009,20,40,18.0
0.16,0.0,243.0,0.6,6,8,2008,5,57,1.0
0.26,0.08,242.58,1.2,14,6,2010,1,17,0.0
0.358,0.216,242.04,1.6,9,2,2009,15,55,0.0
0.176,0.154,241.54,0.8,17,8,2008,8,15,1.0
0.326,0.088,244.52,1.4,10,7,2009,1,43,1.0
1.28,0.23,241.73,5.4,13,10,2007,23,56,1.0
1.53,0.276,237.35,6.4,9,8,2007,17,26,18.0
0.154,0.0,240.01,0.6,8,6,2010,14,32,1.0
2.066,0.068,237.19,9.6,3,10,2009,8,23,17.0
0.15,0.0,232.68,0.6,16,7,2007,10,24,0.0
0.44,0.222,242.07,2.0,24,7,2008,3,47,1.0
0.306,0.076,239.89,1.2,23,2,2007,21,54,0.0
2.952,0.048,235.74,12.4,17,5,2007,13,59,0.0
1.478,0.224,241.44,6.2,31,3,2007,17,21,19.0
1.524,0.0,240.6,6.4,2,7,2008,22,18,0.0
0.314,0.212,240.35,1.6,9,11,2008,17,23,0.0
0.5,0.12,236.49,2.2,8,3,2007,2,20,0.0
1.35,0.082,240.1,5.6,27,10,2007,15,46,20.0
0.47,0.0,242.56,2.2,11,2,2008,8,25,0.0
0.252,0.0,245.01,1.0,26,12,2009,16,0,1.0
2.36,0.0,239.92,9.8,22,2,2008,21,8,18.0
0.354,0.192,242.25,1.8,24,8,2010,21,19,1.0
0.598,0.154,245.74,2.4,12,3,2008,15,47,0.0
0.234,0.084,241.04,1.0,29,7,2010,5,9,1.0
0.256,0.08,234.46,1.2,6,4,2008,1,12,3.0
0.246,0.106,240.3,1.0,19,7,2008,1,45,2.0
0.324,0.07,234.94,1.4,21,5,2007,4,13,0.0
1.448,0.316,238.32,6.2,18,6,2009,10,3,20.0
0.27,0.05,251.03,1.2,1,8,2009,5,10,0.0
2.294,0.086,239.78,9.4,10,11,2007,22,22,0.0
0.488,0.202,241.48,2.2,29,10,2009,0,9,1.0
0.256,0.0,243.01,1.0,23,4,2008,12,24,1.0
3.658,0.0,238.5,15.2,20,1,2010,11,43,57.0
4.198,0.132,242.62,17.2,2,2,2008,14,26,57.0
0.326,0.072,241.75,1.4,6,3,2010,21,18,1.0
1.246,0.116,240.59,5.2,18,10,2008,15,47,1.0
1.224,0.0,234.14,5.2,4,3,2007,20,26,2.0
2.274,0.126,239.69,9.8,2,10,2010,10,21,19.0
0.326,0.0,241.75,1.6,9,1,2008,15,37,1.0
0.364,0.106,247.8,1.4,15,2,2010,3,4,1.0
0.672,0.206,240.66,3.0,5,2,2010,22,12,0.0
0.424,0.23,247.65,1.8,4,9,2010,14,14,1.0
0.396,0.09,240.17,1.8,7,1,2008,12,52,1.0
0.646,0.176,242.73,2.8,18,4,2009,1,25,7.0
1.548,0.088,239.28,6.4,16,9,2007,15,26,20.0
1.636,0.076,244.66,6.6,25,11,2008,0,23,0.0
0.316,0.0,249.2,1.6,22,1,2009,0,40,0.0
1.386,0.094,240.24,5.8,21,9,2008,13,44,18.0
2.362,0.226,239.11,9.8,6,9,2010,7,56,30.0
0.356,0.082,232.47,1.6,19,7,2007,7,39,1.0
0.412,0.12,240.98,2.4,14,8,2010,11,33,2.0
0.358,0.09,239.7,1.6,4,1,2007,17,0,0.0
0.476,0.212,240.84,2.2,5,9,2008,8,6,1.0
1.044,0.406,241.7,4.6,29,4,2010,14,32,14.0
1.23,0.08,236.15,5.2,19,9,2007,8,40,17.0
1.462,0.2,239.72,6.0,27,11,2007,9,58,18.0
1.0,0.22,244.12,4.8,3,4,2010,16,8,9.0
1.43,0.084,244.35,5.8,11,5,2009,2,59,20.0
1.574,0.1,239.35,6.6,9,9,2007,18,32,17.0
2.57,0.17,238.18,10.8,19,1,2007,21,19,17.0
0.31,0.104,242.63,1.4,9,4,2009,14,58,0.0
0.342,0.102,246.37,1.4,13,4,2010,14,53,2.0
5.434,0.304,237.48,23.2,4,8,2008,12,52,84.0
1.306,0.048,245.93,5.2,30,12,2008,14,53,0.0
0.546,0.21,242.48,2.4,7,10,2010,22,42,1.0
2.516,0.338,237.93,10.8,30,5,2008,12,8,35.0
0.344,0.068,236.57,1.6,30,5,2007,18,20,0.0
0.912,0.518,241.66,4.4,27,5,2010,19,32,0.0
0.39,0.222,241.25,1.8,20,4,2007,19,20,0.0
0.16,0.0,240.75,0.6,16,6,2007,3,44,0.0
0.336,0.196,240.97,1.6,21,9,2010,4,4,2.0
0.32,0.108,240.65,1.4,26,2,2008,4,8,0.0
1.832,0.228,242.41,7.6,7,6,2009,22,53,0.0
1.828,0.168,235.34,7.8,27,5,2007,16,1,20.0
0.164,0.0,239.84,0.8,20,7,2009,6,3,1.0
3.436,0.316,239.19,14.4,5,8,2008,22,34,19.0
2.126,0.104,240.51,8.8,18,4,2010,11,45,19.0
2.326,0.0,241.93,9.6,1,5,2007,6,13,0.0
0.57,0.07,243.26,2.6,1,1,2009,3,53,0.0
1.372,0.0,243.6,5.6,19,2,2008,14,50,18.0
0.242,0.0,244.54,1.0,23,3,2010,1,4,0.0
1.562,0.108,239.92,6.4,1,2,2009,11,59,20.0
0.718,0.184,240.1,3.0,7,5,2008,2,27,2.0
1.72,0.0,235.52,7.2,6,8,2009,19,8,18.0
0.336,0.096,240.79,1.4,10,12,2009,2,4,1.0
0.252,0.132,239.98,1.2,14,6,2008,2,7,1.0
2.714,0.0,238.88,11.4,12,8,2008,9,8,18.0
1.592,0.096,240.7,6.6,19,2,2008,9,1,19.0
0.37,0.224,240.75,1.8,29,8,2010,3,52,1.0
0.964,0.0,240.31,4.0,26,7,2010,21,40,1.0
0.318,0.0,240.57,1.2,24,9,2008,1,17,0.0
0.08,0.0,240.42,0.2,15,8,2008,15,58,1.0
3.85,0.208,238.58,16.0,18,10,2008,20,43,18.0
1.394,0.094,233.91,6.0,8,7,2007,15,48,17.0
1.62,0.194,233.29,7.0,8,9,2007,1,8,17.0
0.628,0.112,247.82,3.0,1,9,2009,15,5,0.0
1.34,0.062,241.28,5.4,29,3,2009,1,30,0.0
0.168,0.0,241.03,0.6,9,7,2008,7,38,0.0
0.25,0.0,244.29,1.0,25,2,2010,4,42,1.0
0.246,0.094,239.7,1.0,25,7,2010,8,54,1.0
0.322,0.114,243.56,1.4,25,11,2007,16,0,0.0
0.406,0.23,240.93,2.0,4,7,2007,4,40,2.0
0.3,0.096,242.98,1.2,26,10,2009,16,27,1.0
1.458,0.0,242.0,6.0,20,8,2007,16,22,19.0
0.214,0.0,241.81,0.8,24,2,2008,15,17,0.0
1.116,0.252,239.4,4.8,16,6,2007,14,24,1.0
0.472,0.158,245.44,2.0,16,1,2007,23,13,0.0
0.354,0.142,239.94,1.6,14,8,2009,21,0,1.0
1.04,0.098,242.68,4.2,18,7,2010,20,47,0.0
0.29,0.0,240.37,1.2,5,6,2009,5,18,0.0
0.386,0.326,238.56,2.0,9,1,2008,19,38,1.0
1.328,0.064,240.8,5.4,13,11,2008,9,14,17.0
2.47,0.258,239.15,10.6,20,6,2007,21,28,31.0
4.15,0.0,238.67,17.4,15,10,2008,22,54,56.0
1.84,0.452,243.35,7.8,22,11,2009,14,33,20.0
0.23,0.106,238.37,1.0,6,4,2009,11,33,1.0
0.752,0.0,239.97,3.2,29,9,2008,16,48,1.0
2.976,0.286,237.63,12.8,28,12,2006,18,21,18.0
0.346,0.134,243.57,1.4,3,12,2010,2,54,0.0
1.634,0.088,231.76,7.0,8,1,2007,11,16,16.0
0.662,0.076,242.11,2.8,31,7,2009,0,9,1.0
0.736,0.242,243.77,3.4,29,1,2008,3,3,1.0
0.266,0.0,242.58,1.2,28,3,2009,3,6,0.0
0.312,0.078,240.03,1.4,20,11,2010,1,52,0.0
0.808,0.06,249.32,3.2,26,1,2010,16,18,0.0
0.304,0.0,244.31,1.4,18,3,2009,15,58,0.0
0.316,0.0,243.28,1.2,21,7,2008,22,54,0.0
0.584,0.0,242.76,2.4,11,12,2009,18,0,1.0
0.484,0.15,242.03,2.4,10,6,2009,12,50,3.0
1.372,0.07,237.83,5.6,13,4,2008,11,4,18.0
0.172,0.0,239.2,0.8,26,5,2008,4,48,1.0
4.304,0.134,236.73,18.2,4,7,2007,11,46,64.0
0.158,0.0,243.07,0.6,8,10,2010,4,57,0.0
2.81,0.35,239.64,11.8,12,6,2009,22,7,29.0
0.332,0.068,243.39,1.4,25,11,2010,13,17,0.0
0.224,0.0,242.38,1.0,20,6,2010,6,37,1.0
0.252,0.0,250.43,1.0,16,12,2009,5,16,1.0
1.756,0.132,241.0,7.6,30,9,2009,16,17,27.0
0.236,0.096,243.46,1.0,19,7,2010,21,39,0.0
0.194,0.062,240.02,1.0,9,9,2010,10,42,1.0
1.51,0.08,241.84,6.4,18,6,2010,20,12,19.0
1.622,0.348,237.95,7.4,9,7,2010,12,1,0.0
1.564,0.18,242.21,6.4,17,1,2008,13,41,20.0
1.436,0.164,231.42,6.2,6,8,2007,9,5,17.0
0.506,0.088,242.58,2.2,5,4,2008,13,13,1.0
1.402,0.096,244.19,5.8,14,3,2009,15,13,18.0
0.354,0.132,240.14,1.6,16,2,2007,8,44,0.0
0.474,0.158,240.8,2.0,6,9,2007,13,18,0.0
0.286,0.084,240.47,1.2,27,10,2009,19,14,0.0
1.236,0.0,239.23,5.0,14,5,2008,10,5,18.0
0.23,0.138,243.26,1.0,13,7,2009,6,17,1.0
4.992,0.068,236.36,21.0,29,11,2007,21,10,37.0
0.336,0.082,240.78,1.4,6,9,2007,8,0,0.0
0.226,0.102,240.56,1.0,19,7,2010,1,45,1.0
0.626,0.374,240.58,3.0,30,5,2009,19,56,1.0
1.366,0.064,240.64,5.6,10,8,2009,10,5,18.0
2.016,0.068,240.98,8.4,30,4,2008,0,40,1.0
4.404,0.174,240.76,18.2,2,9,2007,22,3,57.0
0.152,0.0,242.6,1.0,26,8,2007,5,24,0.0
0.262,0.0,243.39,1.0,29,1,2010,20,14,1.0
1.296,0.102,239.14,5.4,25,9,2008,10,7,18.0
1.264,0.0,235.82,5.2,5,4,2010,13,13,18.0
0.378,0.138,238.79,1.6,24,7,2008,16,11,1.0
0.288,0.088,239.6,1.2,3,1,2007,7,54,0.0
1.148,0.058,240.01,6.4,19,10,2010,12,23,0.0
0.2,0.0,244.32,0.8,21,12,2006,23,18,0.0
1.49,0.36,238.76,6.6,6,11,2008,17,34,2.0
2.722,0.372,244.49,11.4,12,9,2009,15,25,40.0
0.232,0.126,239.14,1.0,7,9,2008,4,17,2.0
1.234,0.108,240.19,5.2,16,11,2008,17,32,1.0
0.27,0.274,240.89,1.6,14,8,2008,6,21,1.0
1.364,0.062,239.56,5.6,4,1,2009,10,52,18.0
0.408,0.202,236.38,1.8,17,5,2007,14,33,0.0
0.35,0.082,246.23,1.4,13,11,2010,4,8,0.0
1.692,0.308,239.19,7.2,11,5,2010,19,40,1.0
1.324,0.0,239.98,5.4,29,1,2007,14,32,18.0
1.496,0.05,241.6,6.2,11,10,2010,16,6,20.0
1.372,0.17,244.74,5.6,29,10,2010,18,22,0.0
0.42,0.232,242.73,2.0,5,3,2009,4,50,0.0
0.226,0.0,245.83,0.8,11,8,2009,4,6,0.0
0.728,0.192,241.15,3.0,26,3,2010,11,47,2.0
1.416,0.08,243.83,5.8,16,1,2010,5,31,19.0
1.996,0.188,238.0,8.4,5,7,2008,9,55,28.0
1.672,0.176,239.49,8.4,17,10,2008,18,23,21.0
2.036,0.078,248.5,8.2,21,12,2009,16,20,20.0
0.362,0.194,244.36,1.6,26,12,2008,20,6,1.0
0.814,0.112,246.43,3.4,14,12,2008,15,49,0.0
0.208,0.062,242.68,0.8,26,11,2008,16,6,0.0
0.23,0.128,240.24,1.0,7,12,2009,12,3,1.0
1.38,0.0,240.99,5.6,4,8,2009,8,41,18.0
1.632,0.072,237.44,6.8,5,8,2009,19,35,18.0
0.34,0.088,242.85,1.4,21,11,2010,23,6,0.0
2.262,0.108,237.62,9.4,18,12,2006,7,57,18.0
1.552,0.0,242.69,6.4,10,4,2009,22,16,19.0
0.812,0.094,240.28,3.4,9,3,2008,3,7,11.0
0.438,0.0,241.81,2.0,6,2,2010,13,23,1.0
1.118,0.088,239.89,4.6,10,12,2009,21,21,1.0
0.88,0.356,245.16,3.8,1,7,2010,17,36,2.0
3.322,0.372,235.59,14.2,25,5,2008,18,58,42.0
3.176,0.246,237.36,13.4,16,7,2008,12,1,0.0
0.316,0.0,238.99,1.4,4,2,2008,18,0,2.0
0.102,0.0,243.07,0.4,17,6,2007,5,41,0.0
0.718,0.302,243.98,3.2,12,6,2009,11,8,2.0
2.812,0.252,238.48,11.8,2,12,2009,19,48,19.0
3.226,0.294,237.93,13.6,17,1,2007,19,39,1.0
0.226,0.086,242.71,1.0,8,9,2010,22,51,0.0
0.226,0.0,241.88,0.8,25,5,2009,4,55,1.0
0.194,0.122,235.85,1.0,8,6,2007,3,45,0.0
0.234,0.0,246.54,1.0,13,2,2009,23,37,0.0
2.53,0.192,235.0,10.8,31,7,2007,21,26,37.0
0.552,0.198,241.62,2.4,19,5,2010,6,0,1.0
1.546,0.32,240.83,6.4,5,9,2010,11,34,19.0
1.436,0.234,238.67,6.0,13,12,2009,17,12,1.0
0.49,0.108,245.02,2.2,16,1,2008,5,7,0.0
1.382,0.078,239.03,5.8,19,5,2009,10,58,20.0
0.214,0.0,243.94,1.0,6,9,2009,2,20,1.0
1.528,0.052,246.18,6.2,22,10,2010,14,40,19.0
1.338,0.0,244.85,5.4,22,12,2007,16,59,18.0
0.386,0.21,240.15,1.8,26,9,2007,15,12,2.0
0.182,0.08,241.79,1.0,22,8,2007,13,7,0.0
2.472,0.164,241.05,10.2,22,7,2010,1,7,21.0
1.388,0.106,240.54,5.8,4,10,2007,16,8,18.0
1.916,0.06,237.87,8.0,29,1,2009,9,54,17.0
2.146,0.348,239.69,9.0,16,1,2010,20,7,19.0
1.392,0.0,239.39,5.8,2,1,2007,21,38,17.0
0.336,0.254,238.76,1.8,22,5,2008,17,38,2.0
1.12,0.108,240.61,4.8,15,8,2010,21,33,3.0
0.578,0.0,244.58,2.4,2,10,2007,3,36,0.0
0.364,0.068,245.44,1.4,10,9,2009,23,42,1.0
1.276,0.046,240.36,5.2,19,3,2009,13,19,18.0
0.354,0.112,241.47,1.6,22,5,2009,18,55,0.0
2.684,0.202,237.33,11.2,28,7,2009,19,13,38.0
0.24,0.172,241.02,1.2,13,6,2007,15,34,1.0
0.252,0.09,243.69,1.0,20,6,2010,6,53,1.0
2.032,0.208,238.38,8.4,24,6,2009,22,6,20.0
1.512,0.162,237.69,6.4,3,5,2009,9,20,18.0
0.392,0.254,241.66,2.0,29,5,2008,2,46,0.0
1.456,0.222,238.04,6.2,7,4,2008,17,17,20.0
3.01,0.29,236.31,12.8,23,10,2009,19,39,18.0
2.568,0.346,240.2,10.8,12,1,2007,13,40,18.0
0.514,0.216,240.48,2.4,20,6,2007,13,32,0.0
0.19,0.156,242.19,1.0,29,8,2008,23,3,1.0
0.23,0.0,242.51,1.0,28,7,2009,20,30,1.0
0.196,0.128,237.85,1.0,14,8,2007,3,29,0.0
1.27,0.0,239.77,5.2,23,3,2009,19,56,0.0
0.224,0.106,241.02,1.0,15,7,2007,5,14,2.0
1.672,0.072,240.09,7.0,31,1,2008,10,19,18.0
0.524,0.188,243.62,2.2,27,1,2008,15,46,0.0
1.752,0.074,239.4,7.2,16,8,2010,23,26,0.0
2.444,0.064,237.39,10.2,18,10,2008,18,47,18.0
0.188,0.0,241.99,0.8,9,1,2009,14,56,1.0
0.65,0.196,241.67,2.8,3,4,2008,0,31,1.0
0.662,0.286,244.14,3.0,25,5,2008,13,26,1.0
0.254,0.0,248.84,1.0,1,6,2010,5,15,1.0
1.414,0.094,239.42,5.8,2,12,2008,17,19,18.0
0.3,0.0,246.48,1.2,28,10,2010,7,13,1.0
1.37,0.08,240.06,5.6,26,3,2009,10,23,18.0
0.546,0.104,247.21,2.4,29,10,2010,14,19,0.0
0.732,0.048,239.78,3.0,2,9,2009,18,7,0.0
0.594,0.254,239.09,3.0,7,1,2008,18,34,6.0
0.952,0.204,242.65,4.2,25,10,2009,13,23,8.0
0.42,0.206,244.4,1.8,19,1,2009,1,31,0.0
0.336,0.086,245.09,1.4,22,12,2008,6,41,1.0
1.616,0.058,243.78,6.6,12,12,2008,21,2,1.0
2.398,0.0,236.01,10.0,28,3,2010,20,9,22.0
0.64,0.082,238.82,2.6,3,4,2010,18,43,3.0
0.308,0.12,241.38,1.4,7,3,2010,14,18,2.0
0.616,0.394,243.63,3.0,28,11,2009,15,15,0.0
1.372,0.082,238.87,5.6,13,1,2008,10,54,17.0
1.372,0.076,241.53,5.6,27,11,2009,14,3,19.0
0.284,0.076,240.21,1.2,25,10,2008,1,3,0.0
2.11,0.178,237.46,8.8,21,11,2007,9,33,17.0
1.596,0.0,240.46,6.6,14,11,2008,13,45,18.0
0.37,0.234,245.53,1.8,2,12,2007,23,1,1.0
1.746,0.166,242.61,7.2,3,12,2009,13,59,18.0
0.284,0.0,245.14,1.2,4,9,2008,2,42,0.0
0.392,0.102,242.79,1.6,30,3,2008,3,50,1.0
1.484,0.052,237.98,6.2,7,2,2008,13,35,18.0
0.514,0.082,240.55,2.4,4,8,2007,13,15,0.0
0.102,0.0,236.61,0.4,30,7,2007,8,59,0.0
0.41,0.2,240.13,1.8,4,11,2010,23,35,0.0
0.288,0.114,241.88,1.2,16,9,2008,5,12,1.0
0.372,0.234,240.44,1.8,6,9,2007,2,23,2.0
0.528,0.44,240.46,2.8,16,8,2009,15,36,0.0
0.306,0.0,244.04,1.4,12,11,2008,3,23,0.0
0.776,0.336,238.98,3.8,8,12,2009,10,53,7.0
2.766,0.0,238.62,11.8,19,10,2008,9,18,43.0
0.214,0.094,239.11,1.0,7,7,2008,15,43,1.0
3.79,0.148,234.57,16.0,11,9,2007,13,42,54.0
0.248,0.076,241.48,1.2,22,9,2009,2,22,1.0
1.494,0.092,240.48,6.2,13,5,2010,11,55,19.0
0.546,0.214,242.18,2.6,6,6,2008,16,52,1.0
1.076,0.082,237.49,4.4,10,10,2008,19,18,0.0
0.42,0.336,242.79,2.2,6,6,2010,3,36,2.0
1.984,0.108,244.75,8.0,28,1,2009,12,46,18.0
1.458,0.184,239.97,6.0,4,12,2009,3,33,19.0
1.964,0.34,238.52,8.4,9,11,2009,7,4,19.0
0.218,0.068,241.51,1.0,1,1,2009,11,49,0.0
0.382,0.146,247.38,1.6,1,3,2010,2,52,1.0
0.274,0.12,240.66,1.2,9,7,2008,2,20,1.0
0.25,0.116,241.07,1.2,7,12,2008,20,40,2.0
1.35,0.066,240.08,5.6,11,11,2009,16,36,19.0
0.258,0.0,241.99,1.0,5,5,2008,15,49,1.0
0.266,0.216,235.13,1.4,8,9,2007,16,4,0.0
0.228,0.134,239.8,1.0,8,10,2009,14,1,2.0
0.562,0.102,242.61,2.4,11,4,2008,15,32,0.0
0.308,0.236,238.38,1.6,9,12,2007,14,18,1.0
0.316,0.09,245.67,1.2,12,10,2008,4,56,0.0
0.544,0.334,236.65,2.6,25,6,2008,13,45,3.0
2.76,0.086,242.16,11.4,21,3,2007,15,59,39.0
0.5,0.096,241.64,2.0,6,9,2007,17,25,0.0
1.214,0.0,239.84,5.0,17,4,2007,10,48,17.0
0.08,0.0,239.05,0.2,28,8,2008,6,4,1.0
1.234,0.292,242.68,5.2,24,6,2010,21,10,2.0
0.672,0.052,244.44,2.8,17,2,2008,1,15,1.0
0.48,0.342,244.34,2.4,20,10,2007,2,27,1.0
0.23,0.086,238.88,1.0,31,7,2010,8,14,1.0
1.448,0.0,239.19,6.2,6,10,2009,22,8,2.0
0.306,0.24,242.8,1.6,13,7,2009,3,30,1.0
1.486,0.0,241.2,6.0,2,1,2008,15,30,18.0
5.608,0.294,235.75,23.8,2,2,2008,22,27,55.0
0.294,0.206,234.47,1.4,5,4,2007,10,33,0.0
1.346,0.0,242.59,5.4,3,11,2010,1,22,18.0
0.214,0.138,240.88,1.0,21,8,2007,13,13,0.0
0.23,0.0,241.18,1.0,23,10,2009,12,16,1.0
0.914,0.05,241.4,3.8,29,1,2008,1,48,0.0
1.328,0.0,242.01,5.4,16,5,2009,9,41,19.0
0.338,0.16,246.35,1.4,11,9,2009,13,37,0.0
2.84,0.0,238.71,11.8,11,4,2008,21,19,20.0
2.482,0.168,236.7,10.8,13,1,2008,11,32,33.0
1.168,0.408,247.39,5.0,18,12,2009,17,55,1.0
1.704,0.0,238.36,7.2,3,6,2009,7,47,17.0
0.412,0.074,241.71,1.6,15,2,2009,20,53,0.0
1.87,0.068,242.2,7.6,31,1,2009,13,39,19.0
0.288,0.254,240.62,1.6,30,8,2007,17,23,2.0
0.29,0.078,241.22,1.2,27,9,2007,3,52,1.0
0.352,0.106,235.47,1.6,31,5,2007,6,14,2.0
0.396,0.126,240.91,1.6,29,8,2007,15,27,0.0
0.366,0.178,242.88,1.6,3,5,2008,3,56,0.0
1.67,0.106,243.13,6.8,2,3,2008,13,20,18.0
0.47,0.246,244.21,2.2,23,4,2009,15,21,2.0
0.182,0.11,235.36,0.8,8,4,2007,7,26,0.0
1.616,0.388,242.52,6.8,18,1,2010,17,25,2.0
0.252,0.0,242.21,1.0,30,10,2009,5,22,0.0
3.39,0.17,232.65,14.6,17,12,2006,17,24,17.0
2.432,0.0,241.68,10.0,11,11,2008,23,14,18.0
1.498,0.118,242.14,6.2,20,5,2008,7,16,19.0
0.428,0.212,240.71,2.0,4,6,2007,16,23,1.0
0.258,0.0,239.6,1.0,5,11,2009,12,34,1.0
1.31,0.0,245.72,5.2,4,1,2009,2,21,0.0
3.256,0.354,232.89,14.0,25,4,2007,20,2,1.0
1.546,0.172,237.74,6.6,26,1,2008,11,14,17.0
0.396,0.064,244.74,1.8,3,5,2009,4,8,2.0
0.302,0.232,241.74,1.6,27,7,2009,6,35,2.0
0.286,0.11,243.23,1.2,22,12,2006,1,9,1.0
1.558,0.084,241.05,6.4,23,4,2010,10,0,19.0
0.43,0.192,241.77,1.8,5,9,2008,20,26,1.0
1.578,0.056,235.67,6.6,25,5,2007,6,59,17.0
4.614,0.282,234.53,19.6,29,9,2009,20,21,49.0
